"","link","date","title","text"
"1","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/04872acb30226faa44257ceb00491bc8!OpenDocument","2014-05-07 00:00:00.000000","НОТА ПОСОЛЬСТВА РОССИИ В ОАЭ ОТНОСИТЕЛЬНО СТАТЬИ ПОСЛА УКРАИНЫ В ОАЭ Ю.В.ПОЛУРЕЗА","Нота посольства России в ОАЭ относительно статьи посла Украины в ОАЭ Ю.В.Полуреза 07-05-2014"
"2","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/0487805c1795c6c6c32571c400483bcc!OpenDocument","2006-08-08 00:00:00.000000","ПИСЬМО ПРЕСС-СЛУЖБЫ ПОСОЛЬСТВА РОССИИ В НИДЕРЛАНДАХ ГЛАВНОМУ РЕДАКТОРУ ГАЗЕТЫ «ФИНАНШИЕЛЕ ДАГБЛАД» УЛКО ЙОНКЕРУ, ОПУБЛИКОВАННОЕ 7 АВГУСТА 2006 ГОДА","Письмо пресс-службы Посольства России в Нидерландах главному редактору газеты «Финаншиеле Дагблад» Улко Йонкеру, опубликованное 7 августа 2006 года 08-08-2006  Уважаемый Господин Йонкер,  В выпуске Вашей газеты за 1 августа с.г.  Вы опубликовали развернутое интервью бывшего комиссара КЕС Ф.Болкенстайна по проблематике инвестиционного климата в России, содержащее целый ряд фактологических искажений и передержек, явно несбалансированных и предвзятых оценок. В этой связи просили бы Вас опубликовать в ближайшем номере газеты наш комментарий по поводу данного материала.  Очевидно, что общий тон комментариев  Ф.Болкенстейна  относительно инвестиционного климата в России продиктован не искренним стремлением разобраться в реальной ситуации, дать читателю «Финаншиеле Дахблад» объективную и непредвзятую картину в этой сфере, а главным образом его нынешней деятельностью в качестве советника Group Menatep Limited, - оффшорной компании, зарегистрированной в Гибралтаре, управляющей частью активов обанкротившейся недавно и скандально известной компании «ЮКОС».   Истинная ситуация в российской экономике, кстати, значительно оздоровившаяся после завершающейся в эти дни остории с «ЮКОСом», в результате выплатившим  более 21 млрд. долларов предъявленных ему государством налоговых претензий, такова.  По темпам экономического роста Россия является  одним из мировых лидеров - объем ВВП страны составляет 765,8 млрд. долларов, и в принципе страна не нуждается во внешних заимствованиях. Объем золотовалютных резервов превысил объем внешнего и внутреннего долга, что само по себе способствует привлечению иностранных инвестиций. В 2005 г. приток капиталов в Россию впервые превысил их отток. Крупные российские компании сами становятся участниками мировой кооперации, вкладывают средства в мультинациональные проекты, что было бы невозможно без создания благоприятного предпринимательского климата внутри самой России.  В недавно опубликованном исследовании авторитетной консалтинговой компании A.T.Kearney, основанном на опросах руководителей крупнейших компаний, Россия заняла шестое место в мире по уровню инвестиционной привлекательности, уступив только Китаю, США, Великобритании, Индии и Польше. Неоднократно повышали инвестиционный рейтинг России и другие частные компании - например StandardPoor’s – до уровня «BBB-«.  По информации  такого непредвзятого источника как Конференция ООН по торговле и развитию (ЮНКТАД) объем прямых иностранных инвестиций в нашу экономику  в 2005 г. увеличился в два с лишним раза и составил 26,1 млрд. долларов. Свое присутствие в России расширяют не только «ШЕЛЛ» и «Бритиш Петролеум», но и другие солидные западные компании, такие, как например, «Кампина», «Юнилевер», «Тойота», «Форд», «Рено», корейские автогиганты, «Сименс», и другие.   Нидерланды, инвестировав в экономику России за этот период времени  8.9 млрд. долларов, стали вторым по величине инвестором после Кипра.    Мы не скрываем, что коррупция является одной из острых проблем в России, но было бы несправедливо выделять ее, как это делает в своем интервью Ф.Болькештейн, в исключительно российское явление. Российские правоохранительные органы, все общество ведут активную работу по искоренению этого зла. В том числе и в соответствии с недавно ратифицированной Россией Международной конвенцией о противодействии коррупции. Что касается «газового спора» (“gasruzie”) между Россией и Украиной, то его основа – не политическая, а коммерческая.  Из-за нерыночной цены на газ, Россия в течение последних 15 лет фактически безвозмездно дотировала украинскую экономику в размере 3-5 млрд. долларов ежегодно.   Хотели бы подчеркнуть, что Россия продолжает оставаться надежным поставшиком энергоресурсов в Европу. Эту точку зрения разделяют и в правительственных кругах и в бизнес-сообществе Нидерландов.   Сегодня торгово-экономические отношения между Россией и Нидерландами развиваются исключительно активно. В ходе ноябрьского 2005г. госвизита в Нидерланды президента В.В.Путина и его встречи с руководством крупнейших голландских кампаний, работающих на российском рынке, была одобрена и подписана новая Совместная программа  сотрудничества  наших стран на 2006-2007 гг. в т.ч. и в торгово-экономической сфере. В текущем году объем взаимной торговли составит более 25 млрд. долл. На наш рынок  приходит все больше и больше нидерландских фирм - так что, какого-либо дифицита в плане наращивания российско-нидерландского сотрудничества мы не испытываем. Реальным недостатком нашего двустороннего взаимодействия остается порой искаженное и предвзятое информирование голландских предпринимателей о реальной экономической ситуации в России. В том числе и для исправления такой ситуации, в ходе предстоящей осенью с.г. 6-й сессии Межправительственной комиссии по экономическому сотрудничеству Россия-Нидерланды нами будет проведено первое заседание вновь созданного Совместного Делового Совета бизнесменов обеих стран. Уверены, что заинтересованное обсуждение на этой площадке имеющихся проблем в двустронней торгово-экономической	 сфере будет полезнее и продуктивнее гневных монологов подобных тому, который позволил себе г-н Ф.Болькенстайн."
"3","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/0908dd571149348b44257bc8003b57dd!OpenDocument","2013-08-15 00:00:00.000000","ПИСЬМО ГЕНЕРАЛЬНОГО КОНСУЛА РОССИИ В САН-ПАУЛУ М.Г. ТРОЯНСКОГО В РЕДАКЦИЮ РАДИОСТАНЦИИ ""RADIO UOL""","Письмо генерального консула России в Сан-Паулу М.Г. Троянского в редакцию радиостанции Radio UOL  15-08-2013  Уважаемый господин редактор, В связи с Вашим вопросом относительно притеснений сексуальных меньшинств в России со ссылкой на выложенные в You Tube сцены издевательств, как Вы пишете, неонацистов над геями и критикой недавно принятого в России закона об административной ответственности за пропаганды среди детей нетрадиционных сексуальных отношений, могли бы сообщить следующее. В нашем обществе, как и в любом другом, включая бразильское, существуют различные взгляды на те или иные явления. Так, например, однополые браки и пропаганда гомосексуализма, в первую очередь среди детей и подростков, в силу исторических традиций, культурных ценностей и обычаев отвергается подавляющим большинством граждан России, государственными институтами и четырьмя основными в стране конфессиями: русской православной церковью, исламом, буддизмом и иудаизмом. Идти вопреки подобным убеждениям вряд ли было бы правильно в таком государстве, как нашем – многонациональном, мультиконфессиональном и поликультурном. Однако, это ни коей мере не отражается на политических, экономических и иных  правах людей нетрадиционной ориентации. Не существует никаких запретов на занятие ими каких-либо государственных и других постов. В тоже время они не могут зарегистрировать свой брак ни в государственных, ни в религиозных инстанциях ибо это не соответствует нашим взглядам на семейные узы. Возможно, мы ошибаемся, но пока в нашем обществе не хватает фантазии, чтобы представить себе семью из двух Адамов или двух Ев, которые никогда не продолжат свой род естественным путем. Предоставлять же им право воспитывать брошенных детей, на наш взгляд, аморально, и тому немало примеров. Какими вырастут дети от подобных «браков»? Именно поэтому одобренный в нашей стране закон направлен, подчеркиваем, не против людей нетрадиционной ориентации – ничего общего с гомофобией не имеющий -, а против пропаганды, растлевающей, на наш взгляд, молодежь и духовно и нравственно, уводящей ее от здорового, заложенного самой природой образа жизни. Что касается упомянутых Вами нападений на людей нетрадиционной ориентации, то это отдельные явления, которые, хотя и муссируются на все лады в прессе, но, смею Вас заверить, не поддерживаются ни одним нормальным и честным человеком. Можете зачитать данное письмо в качестве нашей позиции. Если у Вас будут предложения пригласить нас для участия в темах иного, скажем внешнеполитического характера, в чем мы более сведущи, то с удовольствием примем Ваше приглашение. Генеральный консул                                           М. Троянский"
"4","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/0a6f9acbc3ff183dc325724b003e316c!OpenDocument","2006-12-21 00:00:00.000000","РЕАКЦИЯ ПОСОЛЬСТВА РОССИИ В БЕЛЬГИИ В СВЯЗИ С ИНТЕРВЬЮ С ИМРАНОМ ЭЖИЕВЫМ (ГАЗЕТА “СУАР” ОТ 08.12.2006 Г.)","РЕАКЦИЯ ПОСОЛЬСТВА РОССИИ В БЕЛЬГИИ В СВЯЗИ С ИНТЕРВЬЮ С ИМРАНОМ ЭЖИЕВЫМ  (ГАЗЕТА “СУАР” ОТ 08.12.2006 Г.) 21-12-2006  Редакция “Суар” боится правды о ситуации в Чечне (открытое письмо, адресованное главному редактору газеты “Суар” Беатрис Дельво) Брюссель, 19 декабря 2006 г.  	Уважаемая госпожа главный редактор, 	Пресс-служба Посольства направила в редакцию “Суар” 12 декабря с.г. свою реакцию (прилагается) в связи со статьей, содержавшей клевету в отношении ситуации в Чечне (интервью с неким Имраном Эжиевым, “Суар” от 08.12.2006 г.). Посольство предложило опубликовать свое мнение в рубрике “Письма читателей” в целях поощрения свободной и демократической дискуссии на страницах этой ежедневной газеты. Тем не менее, “Суар” проинформировала Посольство, что газета опубликует лишь одну строчку из этого письма (ответ редакции прилагается). Единственный аргумент, который был дан позднее, состоял в том, что “таково было решение редакции”. 	Посольство полагает, что такое поведение показывает слабость позиции тех, кто пытается скрыть правду о ситуации в Чечне. Редакция “Суар” в очередной раз подтвердила свою предвзятую позицию в том, что касается политики российского Правительства, и продемонстрировала свое твердое намерение не давать слово тем, кто выражает иное мнение о ситуации в России. 	Примите, госпожа главный редактор, уверения в моем высоком уважении. Андрей Ордаш Пресс-атташе Посольства   ПРИЛОЖЕНИЯ  Письмо Посольства России, адресованное редакции “Суар”  Г-ну Доминику Бернсу Редактору рубрики “Форум” Газета “Суар” Брюссель, 12 декабря 2006 г.  	Господин редактор, 	Внимание Посольства России привлекла публикация статьи, посвященной г-ну Имрану Эжиеву, появившейся в вашей газете 8 декабря с.г. (рубрика “Действующее лицо”). 	В связи с тем, что данная статья игнорирует или неправильно интерпретирует серьезные факты, касающиеся ситуации в Чечне, Посольство считает важным довести до сведения читателей “Суар” объективную информацию по этому вопросу. 	Учитывая вышесказанное, мы просим Вас, господин редактор, опубликовать в духе поощрения свободной и демократической дискуссии наше мнение в рубрике “Письма читателей”. Также прилагаю к настоящему письму копии документов, подтверждающих нашу позицию. 	Выражаю Вам заранее благодарность за положительное решение по поводу данной просьбы и прошу Вас принять, господин редактор, уверения в моем высоком уважении. Андрей Ордаш Пресс-атташе Посольства Реакция Посольства России в Бельгии в связи с интервью с Имраном Эжиевым (газета “Суар” от 08.12.2006 г.)  Г-н Имран Эжиев (статья Александра Стобинского, “Суар” от 08.12.2006 г.) либо не знает предмет, о котором он принимается рассуждать, либо намеренно вводит в заблуждение читателей “Суар”. Вся его “интерпретация” событий в Чечне последних 15-ти лет построена на утверждении, что ведется борьба за “несметные запасы” нефти в Чечне. Он доказывает, что эта республика “добывала 45 проц. нефти СССР”. Это утверждение смехотворно! Доля Чечни никогда не превышала 5 проц.! Рассуждения г-на Эжиева по поводу политической ситуации в России и Чечне также невежественны (или, возможно, предвзяты). Вот парадокс: живописуя “ужасы” жизни в Чечне и репрессии со стороны чеченской милиции и органов охраны правопорядка, автор все же “ездит туда так часто, насколько это возможно” и возвращается оттуда целым и невредимым. Одно из двух: либо в Чечне нет политических репрессий, либо г-н Эжиев - человек-невидимка. Несколько слов в отношении поездок в Россию подобных “беженцев”, в том числе из Бельгии. Вроде бы ясно, что политический беженец не станет обращаться в Посольство страны, из которой он спасся, не будет посещать такое Посольство и обращаться к его сотрудникам с просьбами о содействии. Между тем выходцы из Чечни, имеющие вид на жительство в Бельгии (среди них есть лица, рассматриваемые здесь в качестве беженцев), регулярно обращаются в российское Посольство в Брюсселе по любому поводу, включая регистрацию российского гражданства их детей. К примеру, консульский отдел Посольства получил заявление от г-жи Ларисы Дудаевой (прилагается). Она просит оформить ей новый заграничный паспорт взамен утраченного. И при этом прямо указывает, что проживает в Бельгии с 2000 г. в качестве соискателя убежища! Поездки в Россию чеченцев, находящихся в Бельгии на основании вида на жительство, выдаваемого чаще всего просителям убежища, приобрели массовый характер. Как правило, такие псевдобеженцы попадают на Украину через Польшу. Здесь они достают свои паспорта и, поскольку между Россией и Украиной действует безвизовой режим, беспрепятственно пересекают российскую границу. Именно эта категория мигрантов выступает в Бельгии самым яростным критиком российской политики на Кавказе. Это и не удивительно: для сохранения такого удобного статуса “политического беженца” им нужно всячески укреплять свой имидж мучеников.  Ответ редакции “Суар” на письмо Посольства России  18.12.2006 г.  	Добрый день, 	Мы опубликуем исправление, уточняющее, как Вы заметили, что Чечня не поставляет 45 процентов российской нефти. 	Всего наилучшего,  Доминик Бернс Редактор рубрики “Форум”, газета “Суар”"
"5","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/0cdf6d2399466970c32570a0002e138d!OpenDocument","2005-09-16 00:00:00.000000","ПИСЬМО ПОСЛА РОССИИ В ДАНИИ Д.Б.РЮРИКОВА РЕДАКТОРУ ГАЗЕТЫ “ПОЛИТИКЕН” Г-НУ Т.САЙДЕНФАДЕНУ","Письмо Посла России в Дании Д.Б.Рюрикова  редактору газеты  “Политикен” г-ну Т.Сайденфадену 15-09-2005  Уважаемый г-н Сайденфаден, В последнее время в ряде датских СМИ появились публикации о реорганизации так называемого “правительства в изгнании Чеченской Республики Ичкерия”. На полном серьезе авторы рассуждают о том, “какой курс изберет новое правительство”, как на него повлияет назначение “вице-премьером” известного всему миру террориста Ш.Басаева, как к этому должно отнестись международное сообщество. В связи с этими материалами хотел бы отметить следующее. Прежде всего, “чеченское правительство в изгнании” существует лишь в воображении его “министров” и тех, кто о нем пишет. Такого “правительства” просто нет. Говорить о нем равнозначно тому, что говорить о группе организаторов террористических актов, комментировать ситуацию в “правительстве бен Ладена” или “правительстве Заркауи”. И почему бы прямо, как это соответствует реальности, не называть руководство ичкерийской террористической сетью “правительством Басаева”? На наше обращение с просьбой о разъяснении статуса находящегося здесь У.Ферзаули, который именует себя вновь назначенным “министром иностранных дел”, посольство получило следующий официальный ответ Министерства иностранных дел Дании: “Относительно г-на У.Ферзаули Министерство желает подтвердить, что г-н Ферзаули не имеет официального статуса в Дании. Ему было предоставлено право на жительство в Дании только в качестве частного лица. Посольство Российской Федерации может цитировать Министерство иностранных дел по этому поводу при возникновении необходимости”. Хотелось бы надеяться, что редакция учтет эту официальную позицию датского правительства в своих публикациях на чеченскую тему. Сегодня уже не нужно доказывать, что победу в борьбе над международным терроризмом можно одержать лишь совместными усилиями. Мировое сообщество принимает меры по пресечению каналов финансирования и вербовки террористов, стремится перекрывать им доступ к пропаганде террористической идеологии. Почему же с такой готовностью датские СМИ предоставляют трибуну деятелям, которые входят в одну “команду” с Ш.Басаевым и тем самым разделяют ответственность за чудовищные террористические акты? Это - не говоря о том, что сам У.Ферзаули имеет и свой личный “послужной список”, который привел его в Данию, подальше от тех мест, где он оставил о себе вполне определенную память. Может быть, наконец, теперь станет ясно, что из себя представляет это так называемое “правительство в изгнании”, с которым нас призывают вести переговоры. С уважением, Д.Рюриков 7 сентября 2005 года"
"6","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/1ecb0e908314a1cf44257c0400203bfe!OpenDocument","2013-10-14 00:00:00.000000","ПИСЬМО ДИРЕКТОРА ДЕПАРТАМЕНТА ИНФОРМАЦИИ И ПЕЧАТИ МИД РОССИИ А.К.ЛУКАШЕВИЧА ГЛАВНОМУ РЕДАКТОРУ ГАЗЕТЫ «СВОИМИ ИМЕНАМИ» И.П.ИВАХИНУ","Письмо директора Департамента информации и печати МИД России А.К.Лукашевича главному редактору газеты «Своими именами» И.П.Ивахину 14-10-2013"
"7","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/20b54c8d335b406344257ce400468fa9!OpenDocument","2014-06-02 00:00:00.000000","ПИСЬМО ДИРЕКТОРА ДЕПАРТАМЕНТА ИНФОРМАЦИИ И ПЕЧАТИ МИД РОССИИ А.К.ЛУКАШЕВИЧА ГЕНЕРАЛЬНОМУ ДИРЕКТОРУ ТЕЛЕКАНАЛА «ДОМАШНИЙ» Л.А.БЛАНК","Письмо директора Департамента информации и печати МИД России А.К.Лукашевича Генеральному директору телеканала «Домашний» Л.А.Бланк  02-06-2014"
"8","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/276126d1bc47676944257c9800276967!OpenDocument","2014-03-11 00:00:00.000000","PRESS RELEASE PUBLISHED IN THE NEWSPAPER IRAN NEWS, 6 MARCH 2014","PRESS RELEASE PUBLISHED IN THE NEWSPAPER IRAN NEWS, 6 MARCH 2014 11-03-2014  The Embassy of the Russian Federation in Tehran presents its compliments to the editorial board of Iran News and has the honor to inform that the editorial Ukraine Revolution published on March 1, 2014 caught its attention. The Embassy believes that the article not only distorts the Ukrainian events but also intentionally incorrectly portrays the Russian policy towards Ukraine. The author attempted to present uncertain information about the Russian actions in Abkhazia and South Ossetia in 2008, which by itself reflects biased attitude towards Russia. Describing the recent developments in Kiev, the author has obviously forgotten who really has organized and sponsored the revolution and why the agreement reached on February 21 between the legitimate government and the opposition though brokered by a number of EU Foreign Ministers, still has not been implemented. It should be noted that the Russian Government has always protected the interests of its citizens and will continue to do so especially when anti-Russian forces attempt illegal actions threatening their lives and security. All things considered we urge Iran News editorial board to publish this letter and in future to refrain from subjective portrayals of the Russian policy."
"9","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/29215bc73b4ef227c32571b800461f69!OpenDocument","2006-07-27 00:00:00.000000","ПИСЬМО ПРЕДСЕДАТЕЛЯ СОВЕТА АССОЦИАЦИИ РОССИЙСКИХ ДИПЛОМАТОВ П.С.АКОПОВА ГЛАВНОМУ РЕДАКТОРУ ГАЗЕТЫ ""ЖИЗНЬ"" Т.Я. МАРДЕРУ","Письмо Председателя Совета Ассоциации российских дипломатов П.С.Акопова главному редактору газеты Жизнь Т.Я. Мардеру  27-07-2006 Уважаемый Тимур Яковлевич, Обращаюсь к Вам от имени Ассоциации российских дипломатов, призванной  в т.ч. защищать честь и достоинство работников дипломатической службы, в связи с публикацией в Вашей газете от 26 июля 2006г. материала, порочащего деятельность российских дипломатических миссий и их сотрудников. В статье г-на Шахова содержится необъективная, несправедливая оценка усилий российской дипломатической службы по эвакуации наших граждан из объятого огнем Ливана. По логике г-на Шахова, которого нам в вашей редакции охарактеризовали как одного из интеллигентнейших журналистов, Президенту лучше бы «взять - и об стол головой!» за то, что МИД (Министр) не знает с точностью до трехмесячного младенца, до количества волосков на его голове». А «должен», по мнению Шахова. Сожалеем не только о форме, в которой журналист счел возможным выразить свою озабоченность судьбой сограждан (жаль, что он не смог подняться выше желания пнуть, чтобы понять степень нашей озабоченности). Похоже, что сотрудник Вашей газеты проявил элементарную некомпетентность. Речь идет конкретно о численных данных постоянно или временно проживающих за рубежом российских граждан. МИД России всеми возможными средствами, в том числе в изданном при его содействии Справочнике для выезжающих за рубеж, настоятельно рекомендует всем россиянам по прибытии на место проживания встать на консульский учет. Как раз для того, чтобы государство могло выполнить свою обязанность по защите прав и интересов своих граждан. К сожалению, не все следуют этой рекомендации, хотя, по своему опыту могу отметить, что люди в наше непростое, тревожное время (угрозы терроризма, природных катастроф) начинают понимать, что в их собственных интересах быть под крылом (не путать - под «оком») наших диппредставительств. Может быть, опять же по логике г-на Шахова, имеет смысл вернуться к советско-партийной системе, при которой разрешение на любой выезд за рубеж, сопровождавшийся собеседованием в парткоме, а то и в «выездном» отделе ЦК, обуславливался не только знанием имен лидеров коммунистического движения, но и обязательством постановки на учет в советском консульстве? Думаю, что в наше время это вряд ли возможно. Люди должны сами осознать свой интерес в том, чтобы об их местопребывании знали и могли в случае необходимости оказать правовую или иную помощь. В том числе и для того, чтобы при желании получить российское гражданство для того самого младенца, на голове которого Министр иностранных дел обязан, по словам Шахова, «знать количество волосков». Но решать все же должны сами граждане. Не те времена уже, г-н Шахов, и не по «некоторым оценкам», а по точным данным. И последнее. Жаль, что грязь брошена в тех, кто в небольшом посольстве в Бейруте бессонными ночами и тревожными днями, разрываясь между толпами объятых горем людей, телефонами и ливанскими госучреждениями, отрезан от связи с разбомбленным южным Ливаном, смог оперативно (быстрее, чем многие другие страны) организовать выезд своих сограждан, работая самоотверженно в военных условиях, отличных от московского редакционного кабинета автора материала. Давайте, наконец, вместе помогать попавшим в беду россиянам, а не сеять среди них сомнения в том, что Россия придет им на помощь в трудный час. Все факты операции по эвакуации россиян из Ливана опровергают тезис вашего журналиста о равнодушии страны к ее гражданам. Мы были бы благодарны Вам, если бы Вы, уважаемый Тимур Яковлевич, дали указания опубликовать наш ответ на страницах Вашей газеты."
"10","http://mid.ru/bdomp/ns_publ.nsf/71efd0b697409f85c3256fc7002e091d/2ec3d09b2a4c195444257bd400286611!OpenDocument","2013-08-27 00:00:00.000000","ПИСЬМО ГЕНЕРАЛЬНОГО КОНСУЛА РОССИИ В САН-ПАУЛУ М.Г. ТРОЯНСКОГО В РЕДАКЦИЮ ГАЗЕТЫ ""FOLHA DE SÃO PAULO"" В ОТВЕТ НА ПУБЛИКАЦИЮ 21 АВГУСТА СТАТЬИ МАТИАСА СПЕКТОРА ""РУССКИЕ""","ПИСЬМО ГЕНЕРАЛЬНОГО КОНСУЛА РОССИИ В САН-ПАУЛУ М.Г. ТРОЯНСКОГО В РЕДАКЦИЮ ГАЗЕТЫ FOLHA DE SÃO PAULO В ОТВЕТ НА ПУБЛИКАЦИЮ 21 АВГУСТА СТАТЬИ МАТИАСА СПЕКТОРА РУССКИЕ  Уважаемый господин Эвклид Сантос Мендес, В связи с ограничениями в Вашей газете на объем текста, который можно опубликовать в ответ на инсинуации г-на М. Спектора по поводу принятого в России закона об административной ответственности за пропаганду среди детей нетрадиционных сексуальных отношений, направляем следующий краткий материал: В России на конституционном уровне запрещена дискриминация любого рода. Упомянутый Закон запрещает лишь навязывание нетрадиционных сексуальных установок несовершеннолетним. Это не противоречит российской Конституции: семья, материнство и детство в их традиционном понимании – это те ценности, которые обуславливают сохранение и развитие нашего народа. Российское законодательство обязывает органы государственной власти защищать детей от информации, наносящей вред их здоровью, нравственному и духовному развитию. Сообщения же о якобы имеющей место «кампании насилия» в отношении лиц нетрадиционной сексуальной ориентации не соответствуют действительности. Генеральный консул России в Сан-Паулу М.Г. Троянский Опубликовано в Фолья де Сан-Паулу 24.08.2013 г."
