date,text,link,title
"2015-06-09 00:00:00.000000","Комментарий Департамента информации  и печати МИД России в связи с намеченными консультациями по Йемену в Женеве   1138-09-06-2015  Генсекретарь ООН Пан Ги Мун информировал о намеченных на 14 июня консультациях по Йемену в Женеве, которые призваны обеспечить возобновление межйеменского политического процесса. В Москве поддерживают данную инициативу ООН. Исходим из того, что такое мероприятие должно проводиться с участием всех йеменских сторон и без предварительных условий. Первоочередной задачей консультаций в Женеве является выработка безотлагательных мер, направленных на установление на начальном этапе долгосрочных гуманитарных пауз, а в дальнейшем – на скорейшее прекращение кровопролитного вооруженного конфликта в Йемене. Одновременно рассчитываем, что встреча в Женеве откроет путь к запуску ведомого самими йеменцами инклюзивного диалога, ориентированного на достижение прочного урегулирования в этой стране на основе соответствующих резолюций СБ ООН, Инициативы ССАГПЗ и её исполнительного механизма, итогов Конференции по национальному диалогу и Соглашения о мире и национальном партнерстве в Йемене.  9 июня 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/b2573c86d75bfc7b43257e5f0035a117!OpenDocument,"Комментарий Департамента информации и печати МИД России в связи с намеченными консультациями по Йемену в Женеве"
"2015-06-06 00:00:00.000000","Комментарий Департамента информации и печати МИД России в связи с визитом в Российскую Федерацию Министра иностранных дел Республики Беларусь В.В.Макея   1122-06-06-2015  По приглашению Министра иностранных дел Российской Федерации С.В.Лаврова 7-8 июня Россию с визитом посетит Министр иностранных дел Республики Беларусь В.В.Макей. В ходе переговоров главы внешнеполитических ведомств обсудят процесс реализации Программы согласованных действий в области внешней политики государств-участников Договора о создании Союзного государства на 2014-2015 годы. Предпринимаемые шаги по её выполнению были одобрены на прошедшем в Москве 3 марта с.г. заседании Высшего Государственного Совета Союзного государства. МИД России и МИД Беларуси поручено подготовить и представить на рассмотрение Совета министров Союзного государства программу на период 2016-2017 годов. Министры сверят подходы к актуальным двусторонним вопросам, а также международной и региональной повестке дня, в первую очередь, по ситуации на Украине. Сегодня крайне важна бесперебойная работа Контактной и рабочих подгрупп по урегулированию кризиса в этой стране. Белорусская сторона предоставила свою территорию в качестве переговорной «площадки» и не раз заявляла о своей заинтересованности в скорейшем урегулировании украинского кризиса. Будут обсуждены состояние и перспективы отношений России и Беларуси с Европейским союзом и США, в том числе в контексте состоявшегося 21-22 мая с.г. в Риге саммита «Восточного партнерства».  С.В.Лавров и В.В.Макей затронут тематику регулярных двусторонних консультаций по линии внешнеполитических ведомств, рассмотрят ход выполнения Плана реализации на международной арене российско-белорусских инициатив, посвященных 70-летию Победы в Великой Отечественной войне, который был утвержден на совместном заседании коллегий министерств иностранных дел России и Беларуси в Минске 18 ноября 2014 года. По традиции министры обменяются мнениями и по вопросам взаимодействия России и Беларуси в ООН, 70-летие которой будет отмечаться в текущем году. Обе страны оказывают друг другу поддержку в этой Организации как при решении различных международных проблем, так и в ходе выборов в её уставные органы, совместно и последовательно сотрудничают в борьбе с героизацией нацизма, неонацизмом и другими видами расизма и ксенофобии, торговлей людьми, солидарны в вопросах укрепления института семьи и защиты традиционных семейных ценностей. Свидетельство приоритетного для России характера отношений с Республикой Беларусь – высокая динамичность двусторонних контактов на высшем и высоком уровнях – с начала 2015 года президенты России и Беларуси пять раз встречались, в том числе в рамках мероприятий в Москве на праздновании 70-летия Победы над фашизмом, три раунда переговоров провели главы правительств Д.А.Медведев и А.В.Кобяков. Поддерживается постоянный диалог по линии первых заместителей глав правительств двух стран И.И.Шувалова и В.С.Матюшевского, профильных министерств и ведомств России и Беларуси. Стороны работают над реализацией ряда крупных совместных инвестиционных проектов, а также над восстановлением снизившихся за последнее время в силу целого ряда обстоятельств показателей двустороннего товарооборота. В 2014 г. он сократился на 5,3% по сравнению с 2013 г. и составил 37 млрд. 630 млн. долларов США. Ведется регулярное взаимодействие по линии парламентов двух стран. 18-19 февраля с.г. Москву с официальным визитом посетил Председатель Совета Республики Национального Собрания Беларуси М.В.Мясникович. 5 декабря 2014 г. в Сочи была проведена 47-я сессия Парламентского Собрания Союза Республики Беларусь и Российской Федерации. Важную роль в российско-белорусских отношениях играют межрегиональные связи. В 2014 г. Беларусь с рабочими визитами посетили 30 делегаций из российских регионов, в регионы России приезжали 38 белорусских делегаций. В текущем году состоялись визиты в Минск руководителей Удмуртской Республики, Республики Чувашия, Пензенской, Курской, Оренбургской, Архангельской, Нижегородской, Челябинской, Псковской областей. На 17-18 сентября с.г. запланировано проведение в Великом Новгороде Второго форума регионов России и Беларуси, посвященного вопросам совместной промышленной политики.  6 июня 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/01947924d4ed50de43257e5c002c7122!OpenDocument,"Комментарий Департамента информации и печати МИД России в связи с визитом в Российскую Федерацию Министра иностранных дел Республики Беларусь В.В.Макея"
"2015-06-05 00:00:00.000000","Комментарий Департамента информации и печати МИД России в связи с решением США об исключении Кубы из списка стран-спонсоров терроризма  1119-05-06-2015  Считаем, что исключение Кубы из списка Государственного департамента США стран-спонсоров терроризма, о котором было объявлено 29 мая с.г., стало давно назревшей мерой по исправлению исторической ошибки, допущенной Вашингтоном по сугубо политико-идеологическим предубеждениям, и объективным признанием усилий Гаваны в борьбе с международным терроризмом. Надеемся, что данное решение окажет позитивное воздействие на дальнейший процесс нормализации кубино-американских отношений, создаст благоприятный фон для устранения остающихся вокруг Кубы ограничений, в первую очередь касающихся полной отмены экономической, торговой и финансовой блокады, будет способствовать развитию общерегионального сотрудничества. Рассчитываем, что Вашингтон проявит последовательность и предпримет новые шаги в соответствии с требованием времени и заданным в кубино-американском диалоге конструктивным вектором.  5 июня 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/24ade00f5858085543257e5b00587100!OpenDocument,"Комментарий Департамента информации и печати МИД России в связи с решением США об исключении Кубы из списка стран-спонсоров терроризма"
"2015-06-03 00:00:00.000000","Комментарий Департамента информации и печати МИД России относительно американских домыслов о причинах крушения малайзийского «Боинга»  1090-03-06-2015  В МИД России вызвало удивление вчерашнее заявление заместителя официального представителя Госдепартамента США М.Харф, в котором она вновь пыталась безапелляционно и голословно утверждать, что в июле прошлого года самолет «Малайзийских авиалиний» был сбит с территории, контролируемой ополченцами Юго-Востока Украины. Такую упертую позицию Администрация США демонстрирует с первых дней после катастрофы, невзирая на все новые появляющиеся свидетельства, говорящие об обратном. Это выглядит особенно бездоказательно на фоне убедительной пресс-конференции, проведенной 2 июня специалистами концерна ПВО «Алмаз-Антей». Странно также, что в Госдепартаменте так уверенно ручаются за непричастность вооруженных сил Украины к крушению, как будто уже тогда за каждым украинским комплексом «Бук» стояли американские инструкторы. Россия с самого начала призывает к всестороннему и честному расследованию причин трагедии малайзийского «Боинга». Если США располагают данными объективного контроля со спутников или авиационных систем предупреждения и управления «АВАКС», то их следует обнародовать. То же самое касается записей переговоров украинских диспетчеров с военным сектором. Наши настойчивые требования их опубликовать упорно игнорируются. Многие другие вопросы также остаются без ответа. Это еще раз подтверждает, что Киеву есть, что скрывать.  Печально также, что в Госдепартаменте продолжают унизительно называть «сепаратистами» жителей Донбасса, которые из-за репрессивной политики киевских властей вынуждены сражаться за свои гражданские, политические, экономические права и за само право на жизнь. Видимо, в США забыли собственную историю борьбы за свободу, раз пытаются отказывать другим в их законных правах.  3 июня 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/b738327f5e24639143257e5900522e75!OpenDocument,"Комментарий Департамента информации и печати МИД России относительно американских домыслов о причинах крушения малайзийского «Боинга»"
"2015-06-02 00:00:00.000000","Комментарий Департамента информации и печати МИД России об очередном докладе наблюдательной миссии ООН по правам человека на Украине 1080-02-06-2015  Опубликован десятый доклад наблюдательной миссии ООН по правам человека на Украине. Он охватывает период с 16 февраля по 15 мая 2015 года. Наблюдатели отмечают относительную стабилизацию обстановки на Юго-Востоке страны, сокращение боевых столкновений, количества жертв среди мирного населения и насилия.  Тем не менее, гуманитарная ситуация в регионе по-прежнему близка к катастрофе. Положение усугубляется экономической блокадой со стороны Киева. Введенный киевскими властями особый режим перемещения в зоне конфликта препятствует работе там правозащитных организаций и доставке помощи гражданскому населению. В этой связи особо отмечаем рекомендации мониторинговой миссии в адрес Киева обеспечить беспрепятственный доступ и гарантировать безопасность гуманитарным агентствам, оказывающим содействие жителям Донбасса. Тревогу ооновских наблюдателей обоснованно вызывают планы Украины приостановить действие ряда международных правозащитных договоров на территории, контролируемой ополчением. Такие действия идут вразрез с международными обязательствами Киева и, несомненно, будут провоцировать дальнейшее ухудшение правозащитной ситуации в Донбассе.  Согласны с международными экспертами в том, что выполнение Минских договоренностей является единственным возможным решением для достижения мира в Донбассе и улучшения правозащитной обстановки на Украине в целом. В этой связи поддерживаем призыв наблюдателей к сторонам внутриукраинского конфликта начать подлинный диалог по выполнению Минских договорённостей.  Вызывают озабоченность изложенные в докладе многочисленные факты нарушений прав человека украинскими силовиками и наёмническими батальонами: пытки, ненадлежащее обращение с людьми, похищения, произвольные задержания, а также внесудебные казни. Несмотря на обещания Киева, расследование этих преступлений фактически приостановлено, что и отмечено в ооновском документе. Приведены случаи запрещения массовых демонстраций, преследования Службой безопасности Украины оппозиционных гражданских активистов. Констатировано ухудшение ситуации в области свободы слова и СМИ: продолжение нападений на журналистов за «сепаратистские» взгляды, обвинения их в «госизмене» и даже убийства. Осуждается намерение властей Украины запретить деятельность российских СМИ на своей территории.  Возмущение вызывает и тот факт, что год спустя после трагических событий на Майдане и в Одессе виновные в ужасной гибели людей так и не понесли ответственности. Помимо неоправданных проволочек при осуществлении следствия наблюдатели отмечают возросшее давление на судей, вплоть до угроз убийства, со стороны радикальных националистических элементов и СБУ. Призываем наблюдателей  продолжить уделять приоритетное внимание этим правонарушениям и преступлениям, добиваться того, чтобы виновные понесли наказание. Не все оценки наблюдателей можно назвать объективными. Тем не менее, их новые рекомендации в адрес украинских властей, в т.ч. по началу диалога с Донецком и Луганском, расследованию политических убийств, обеспечению независимости судебной системы и др., являются важным подспорьем в нормализации правозащитной обстановки в стране и должны быть поддержаны международным сообществом. Надеемся, что Киев будет на деле, а не на словах выполнять их.  2 июня 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/4623319771c1054743257e5800396765!OpenDocument,"Комментарий Департамента информации и печати МИД России об очередном докладе наблюдательной миссии ООН по правам человека на Украине"
"2015-06-02 00:00:00.000000","Комментарий Департамента информации и печати МИД России о публикациях в некоторых СМИ Турции относительно поездки турецкой неофициальной делегации в Республику Крым Российской Федерации 1078-02-06-2015  В связи с посещением Крыма неофициальной турецкой делегацией 27- 30 апреля хотели бы обратить внимание на появившиеся отклики о ней в турецких средствах массовой информации. Вынуждены констатировать, что в последнее время все чаще предпринимаются попытки использовать крымско-татарский народ в качестве инструмента для огульной критики усилий, предпринимаемых российскими властями в Республике. Последовательно продвигаются тезисы о якобы имеющих место на территории полуострова «массовых похищениях крымских татар» и «многочисленных незаконных обысках и арестах крымско-татарских активистов». Нам известно, с каким вниманием турецкая сторона относится к вопросу о положении крымских татар. В этой связи власти Республики Крым сделали максимально возможное, чтобы способствовать получению побывавшей на полуострове неофициальной делегацией из Турции наиболее полной и объективной информации о сегодняшней жизни крымско-татарского народа. В рамках насыщенной программы были организованы встречи с представителями руководства Республики, заместителями Председателя Совета министров РК Р.И.Бальбеком и Г.Л.Мурадовым, Председателем Государственного комитета по делам межнациональных отношений и депортированных граждан З.Р.Смирновым, заместителем Председателя Государственного совета Р.И.Ильясовым, ректором Крымского инженерно- педагогического университета (КИПУ) Ф.Я.Якубовым,  представителями мусульманского духовенства и крымско-татарской общественности, ветеранами войны и труда, интеллигенцией. Делегация побывала в Бахчисарае, Белогорске, Севастополе и Старом Крыму. Надеемся, что ее члены убедились в открытости российской стороны к диалогу. В целом положительно оцениваем пребывание делегации на полуострове. Полагаем, что подобные встречи помогают развеять пропагандистские мифы и искусственно созданные стереотипы, искажающие реальность ситуации с положением крымских татар. Со своей стороны призываем к объективному неполитизированному подходу в этом вопросе. На полуострове развернута работа по формированию полноценной национально-культурной автономии крымско-татарского народа, что трудно было представить в «украинский период» Крыма. Крымско-татарский язык признан государственным языком Республики Крым наравне с русским и украинским языками. При этом приоритетные для самих крымских татар проблемы лежат не в политизированной плоскости, а имеют четкий социально-гуманитарный и хозяйственный характер, связанный с юридическим оформлением земельных участков, аграрно-сырьевыми вопросами, культурным развитием крымско-татарской общины. Уверены, побывавшая в Крыму турецкая делегация имела хорошую возможность ознакомиться и убедиться как раз в этом.   2 июня 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/45d6193666f4f28043257e58002b32d0!OpenDocument,"Комментарий Департамента информации и печати МИД России о публикациях в некоторых СМИ Турции относительно поездки турецкой неофициальной делегации в Республику Крым Российской Федерации"
"2015-06-01 00:00:00.000000","Комментарий Департамента информации и печати МИД России в связи с очередным задержанием латвийскими спецслужбами правозащитника А.Гапоненко  1069-01-06-2015  Обратили внимание на задержание 26 мая в Риге Полицией безопасности известного латвийского правозащитника А.Гапоненко, планировавшего вылететь в Москву для участия в кинофестивале документальных фильмов со своей работой «Русским школам быть», отражающей неблагоприятную ситуацию с политикой официальной Риги в сфере образования для нацменьшинств. Предъявленное А.Гапоненко, прокомментировавшего в соцсетях размещение в Латвии американских танков, обвинение в «разжигании межнациональной розни» выглядит абсурдным на фоне подчеркнуто безразличного отношения правящей коалиции к реальным проявлениям такого рода. Имеем в виду недавние призывы национал-радикалов сгонять «неграждан» и нелояльных русскоязычных в «гетто», а также потакание под предлогом «демократических свобод» безнравственным перформансам и «инсталляциям» с антироссийским душком, что вызывает справедливое возмущение и резкое неприятие той части латвийского общества, чей голос и права власти предпочитают игнорировать.  Налицо вопиющая предвзятость и политика двойных стандартов местных официальных инстанций в отношении инакомыслящих, которые имеют смелость изобличать дискриминационную линию политического руководства страны. И это при полном попустительстве агрессивным выходкам ярых националистов, чувствующих себя в Латвии практически безнаказанными.  1 июня 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/bdee43da39a87b8b43257e57003c4304!OpenDocument,"Комментарий Департамента информации и печати МИД России в связи с очередным задержанием латвийскими спецслужбами правозащитника А.Гапоненко"
"2015-05-29 00:00:00.000000","Комментарий Департамента информации и печати МИД России в связи с высказываниями генсекретаря НАТО Й.Столтенберга в США  1062-29-05-2015  Обратили внимание на высказывания генсекретаря НАТО Й.Столтенберга в ходе недавней поездки в США. Его публичные выступления были явно «заточены» под американскую аудиторию. Показательно и то, что чем ближе к Вашингтону, тем жестче антироссийская риторика руководства альянса, что подтверждает сомнения в его политической беспристрастности и самостоятельности. Отсюда и обилие антироссийских «штампов», мифов об «угрозе с Востока», уже традиционных для альянса искажений фактов и односторонних оценок. Очевидно, что все это делается для обоснования затратных мер военного плана, предпринимаемых альянсом вблизи российских рубежей. При этом вопреки здравому смыслу не принимается в расчет, что повышение градуса военной напряженности на границах с Россией ослабляет, а не укрепляет стабильность на континенте.  Такой подход с трудом стыкуется с декларируемым в НАТО стремлением к налаживанию конструктивных отношений с Россией в целях обеспечения безопасности в Евро-Атлантике и в мире.  29 мая 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/c4e36ad3454a401843257e540058aa38!OpenDocument,"Комментарий Департамента информации и печати МИД России в связи с высказываниями генсекретаря НАТО Й.Столтенберга в США"
"2015-05-27 00:00:00.000000","Комментарий Департамента информации и печати МИД России относительно проведения очередных встреч в формате ""нормандской четверки"" по урегулированию украинского кризиса  1040-27-05-2015  27 мая рядом украинских СМИ со ссылкой на анонимный источник в МИД Украины была распространена информация о том, что якобы по вине российской стороны была ""сорвана"" встреча в ""нормандском формате"" на уровне заместителей министров иностранных дел. Хотели бы отметить, что данная информация не соответствует действительности, так как договоренности о встрече в Париже на текущей неделе не было, а была лишь инициатива рассмотреть такую возможность. При этом конкретные предложения о повестке дня встречи не поступили. Более того, в недавнем телефонном разговоре министров иностранных дел России и Украины С.В.Лаврова и П.А.Климкина было отфиксировано взаимное понимание в вопросе о том, что в настоящее время проведение встречи на уровне заместителей министров иностранных дел в ""нормандском формате"" представляется преждевременным, так как следует дождаться результатов начавшейся деятельности тематических рабочих подгрупп, созданных в рамках реализации Минских договоренностей, которые должны вновь собраться в Минске 2 июня с.г. Призываем представителей МИД Украины воздерживаться от грубоватых и некомпетентных информационных вбросов, которые никак не способствуют позитивной динамике процесса урегулирования кризисной ситуации на Украине.  27 мая 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/4d148696bb0111eb43257e520061c778!OpenDocument,"Комментарий Департамента информации и печати МИД России относительно проведения очередных встреч в формате ""нормандской четверки"" по урегулированию украинского кризиса"
"2015-05-27 00:00:00.000000","Комментарий официального представителя МИД России А.К.Лукашевича в связи с арестом ряда представителей ФИФА  1039-27-05-2015  У нас вызвало немало вопросов задержание в Швейцарии по запросу США высокопоставленных функционеров Международной футбольной ассоциации (ФИФА) на основании постановления американского суда. Группе лиц, представляющих различные государства, вменяется в вину порядка полусотни случаев разного рода финансовых махинаций.  Не вдаваясь  в подробности выдвигаемых обвинений, обращаем внимание на то, что налицо очередной случай незаконного экстерриториального применения американского законодательства. Рассчитываем, что это никоим образом не будет использоваться для того, чтобы бросить тень на международную футбольную организацию в целом и принимаемые ею решения, включая кадровые. Вновь настоятельно призываем Вашингтон прекратить попытки вершить суд далеко за пределами своих границ по своим правовым нормам и следовать общепринятым международно-правовым процедурам.  27 мая 2015 года",http://mid.ru/bdomp/brp_4.nsf/4b3c695294590c3d432569cf00384929/bbccb78e3d14bfdd43257e520058d540!OpenDocument,"Комментарий официального представителя МИД России А.К.Лукашевича в связи с арестом ряда представителей ФИФА"
